Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,FullTimeResult,HTHG,HTAG,HTR,Referee,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,HF,AF,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HR,AR,ResultCode,GoalDiff,TotalGoals,HomeForm,AwayForm,FormDiff
,Vallecano,Valladolid,2,1,H,0,0,D,,16,7,6,4,18,15,3,4,0,0,0,0,1,1,3,0.5,0.5,0.0
,Mallorca,Cadiz,1,0,H,1,0,H,,8,14,3,4,16,14,3,7,5,3,0,0,1,1,1,0.5,0.5,0.0
,Sociedad,Girona,2,2,D,2,2,D,,18,13,6,6,22,13,7,4,5,3,0,1,0,0,4,0.5,0.5,0.0
,Osasuna,Almeria,3,1,H,0,0,D,,18,8,7,3,7,7,4,1,0,0,0,0,1,2,4,0.5,0.5,0.0
,Villarreal,Ath Bilbao,5,1,H,2,1,H,,17,11,11,5,11,13,7,5,4,3,0,0,1,4,6,0.5,0.5,0.0
,Real Madrid,Getafe,1,0,H,0,0,D,,16,9,3,2,5,23,1,3,1,4,0,0,1,1,1,0.5,0.5,0.0
,Celta,Valencia,1,2,A,0,1,A,,10,12,6,5,13,19,5,4,3,5,0,1,-1,-1,3,0.5,0.5,0.0
,Elche,Ath Madrid,1,0,H,1,0,H,,15,13,4,4,16,3,3,5,2,0,0,0,1,1,1,0.5,0.5,0.0
,Valladolid,Sevilla,0,3,A,0,0,D,,28,17,6,5,9,16,8,3,2,1,0,0,-1,-3,3,0.5,0.5,0.0
,Espanol,Barcelona,2,4,A,0,3,A,,15,15,7,5,12,9,4,3,1,3,0,0,-1,-2,6,0.5,0.5,0.0
,Betis,Vallecano,3,1,H,2,0,H,,11,16,5,4,11,9,6,5,3,2,0,1,1,2,4,0.5,0.5,0.0
,Cadiz,Valladolid,2,0,H,0,0,D,,11,6,4,2,18,18,4,3,4,4,0,1,1,2,2,0.5,0.5,0.0
,Girona,Villarreal,1,2,A,1,1,D,,9,10,3,5,16,11,3,1,2,1,0,0,-1,-1,3,0.5,0.5,0.0
,Ath Bilbao,Celta,2,1,H,1,0,H,,10,8,3,3,17,12,8,5,4,1,0,0,1,1,3,0.5,0.5,0.0
,Almeria,Mallorca,3,0,H,2,0,H,,12,7,3,3,11,15,4,6,1,2,0,0,1,3,3,0.5,0.5,0.0
,Getafe,Elche,1,1,D,1,1,D,,9,13,5,4,19,11,5,6,3,1,0,0,0,0,2,0.5,0.5,0.0
,Barcelona,Sociedad,1,2,A,0,1,A,,13,13,4,6,8,16,8,2,4,4,0,0,-1,-1,3,0.5,0.5,0.0
,Vallecano,Espanol,1,2,A,1,1,D,,15,10,5,6,8,11,4,4,2,2,0,0,-1,-1,3,0.5,0.5,0.0
,Ath Madrid,Osasuna,3,0,H,1,0,H,,15,12,5,2,6,11,8,10,0,2,0,0,1,3,3,0.5,0.5,0.0
,Valencia,Real Madrid,1,0,H,1,0,H,,12,13,6,5,13,4,2,9,4,2,0,1,1,1,1,0.5,0.5,0.0
,Sevilla,Betis,0,0,D,0,0,D,,10,5,4,0,14,11,4,3,2,2,0,1,0,0,0,0.5,0.5,0.0
,Celta,Girona,1,1,D,1,0,H,,16,11,7,4,13,13,9,3,0,0,0,0,0,0,2,0.5,0.5,0.0
,Sociedad,Almeria,1,0,H,1,0,H,,15,2,2,2,20,8,10,2,0,1,0,1,1,1,1,0.5,0.5,0.0
,Valladolid,Barcelona,3,1,H,2,0,H,,8,16,4,6,13,9,2,6,1,0,0,0,1,2,4,0.5,0.5,0.0
,Elche,Sevilla,1,1,D,1,1,D,,20,9,7,3,12,10,9,5,1,4,0,1,0,0,2,0.5,0.5,0.0
,Real Madrid,Vallecano,2,1,H,1,0,H,,12,15,3,6,11,14,5,2,1,3,0,0,1,1,3,0.5,0.5,0.0
,Villarreal,Cadiz,2,0,H,2,0,H,,13,16,7,8,14,8,7,6,1,2,0,0,1,2,2,0.5,0.5,0.0
,Betis,Getafe,0,1,A,0,0,D,,11,9,4,2,8,12,2,5,2,5,1,0,-1,-1,1,0.5,0.5,0.0
,Espanol,Ath Madrid,3,3,D,0,2,A,,26,16,13,7,6,9,16,1,2,3,0,0,0,0,6,0.5,0.5,0.0
,Mallorca,Valencia,1,0,H,0,0,D,,4,15,3,5,15,12,2,4,4,2,0,0,1,1,1,0.5,0.5,0.0
,Osasuna,Ath Bilbao,2,0,H,0,0,D,,9,10,3,5,17,13,3,6,3,3,0,0,1,2,2,0.5,0.5,0.0
,Sevilla,Real Madrid,1,2,A,1,1,D,,11,6,1,3,23,10,1,1,2,4,1,0,-1,-1,3,0.5,0.5,0.0
,Almeria,Valladolid,0,0,D,0,0,D,,23,8,7,2,11,16,2,4,0,4,0,0,0,0,0,0.5,0.5,0.0
,Ath Bilbao,Elche,0,1,A,0,0,D,,27,6,8,2,7,10,19,3,1,1,0,0,-1,-1,1,0.5,0.5,0.0
,Ath Madrid,Sociedad,2,1,H,1,0,H,,11,10,5,5,8,10,6,4,2,2,0,0,1,1,3,0.5,0.5,0.0
,Barcelona,Mallorca,3,0,H,2,0,H,,28,3,9,1,4,9,14,3,0,0,0,1,1,3,3,0.5,0.5,0.0
,Cadiz,Celta,1,0,H,0,0,D,,13,9,3,4,16,10,3,3,9,5,0,0,1,1,1,0.5,0.5,0.0
,Getafe,Osasuna,2,1,H,1,1,D,,16,10,6,2,11,6,1,1,3,1,0,0,1,1,3,0.5,0.5,0.0
,Girona,Betis,1,2,A,1,0,H,,9,18,3,7,14,12,8,5,0,1,0,0,-1,-1,3,0.5,0.5,0.0
,Valencia,Espanol,2,2,D,1,1,D,,19,9,4,5,12,12,10,3,0,4,0,0,0,0,4,0.5,0.5,0.0
,Vallecano,Villarreal,2,1,H,0,0,D,,15,7,4,2,9,9,4,6,3,5,0,0,1,1,3,0.5,0.5,0.0
,Mallorca,Vallecano,3,0,H,0,0,D,,8,20,4,4,14,15,2,6,0,0,0,0,1,3,3,0.5,0.5,0.0
,Osasuna,Girona,2,1,H,0,0,D,,14,11,7,6,12,9,5,2,1,5,0,0,1,1,3,0.5,0.5,0.0
,Real Madrid,Ath Bilbao,1,1,D,0,0,D,,9,15,2,9,11,14,5,6,2,2,0,0,0,0,2,0.5,0.5,0.0
,Sociedad,Sevilla,2,1,H,1,0,H,,17,9,6,4,10,13,5,2,0,1,0,0,1,1,3,0.5,0.5,0.0
,Villarreal,Ath Madrid,2,2,D,1,1,D,,22,9,7,3,9,12,12,1,3,2,0,1,0,0,4,0.5,0.5,0.0
,Betis,Valencia,1,1,D,1,0,H,,8,10,3,3,11,11,5,4,3,0,0,1,0,0,2,0.5,0.5,0.0
,Celta,Barcelona,2,1,H,1,0,H,,12,9,9,2,13,9,2,4,2,2,0,0,1,1,3,0.5,0.5,0.0
,Elche,Cadiz,1,1,D,0,1,A,,12,14,5,3,18,8,7,4,4,3,0,0,0,0,2,0.5,0.5,0.0
,Espanol,Almeria,3,3,D,1,1,D,,12,11,8,4,11,12,7,6,2,3,0,0,0,0,6,0.5,0.5,0.0
,Valladolid,Getafe,0,0,D,0,0,D,,15,4,0,1,9,25,6,1,1,3,0,0,0,0,0,0.5,0.5,0.0
,Cadiz,Mallorca,0,2,A,0,1,A,,13,7,4,3,12,14,5,5,3,2,0,0,-1,-2,2,0.5,0.5,0.0
,Valencia,Osasuna,1,1,D,0,0,D,,14,12,5,4,14,14,7,3,2,2,0,0,0,0,2,0.5,0.5,0.0
,Ath Bilbao,Vallecano,1,0,H,0,0,D,,12,14,4,5,10,11,6,5,2,2,0,0,1,1,1,0.5,0.5,0.0
,Getafe,Real Madrid,0,3,A,0,2,A,,7,18,1,5,7,14,3,7,0,4,0,0,-1,-3,3,0.5,0.5,0.0
,Sevilla,Celta,2,2,D,1,1,D,,14,12,5,5,14,12,6,4,3,3,0,0,0,0,4,0.5,0.5,0.0
,Milan,Udinese,4,2,H,2,2,D,,14,9,5,4,16,13,5,1,1,4,0,0,1,2,6,0.5,0.5,0.0
,Sampdoria,Atalanta,0,2,A,0,1,A,,11,9,1,3,13,21,3,2,4,6,0,0,-1,-2,2,0.5,0.5,0.0
,Lecce,Inter,1,2,A,0,1,A,,10,19,4,9,21,19,6,8,4,2,0,0,-1,-1,3,0.5,0.5,0.0
,Monza,Torino,1,2,A,0,1,A,,15,13,4,6,6,17,2,7,1,2,0,0,-1,-1,3,0.5,0.5,0.0
