Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,FullTimeResult,HT_HomeGoals,HT_AwayGoals,HalfTimeResult,Referee,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,ResultCode,GoalDiff,TotalGoals,ShotDiff,ShotOnTargetDiff,CornerDiff,YellowCardDiff,RedCardDiff,FoulDiff,Month,MonthName
2022-08-05,Crystal Palace,Arsenal,0,2,A,0,1,A,A Taylor,10,10,2,2,16,11,3,5,1,2,0,0,-1,-2,2,0,0,-2,-1,0,5,8,Aug
2022-08-06,Fulham,Liverpool,2,2,D,1,0,H,A Madley,9,11,3,4,7,9,4,4,2,0,0,0,0,0,4,-2,-1,0,2,0,-2,8,Aug
2022-08-06,Bournemouth,Aston Villa,2,0,H,1,0,H,P Bankes,7,15,3,2,18,16,5,5,3,3,0,0,1,2,2,-8,1,0,0,0,2,8,Aug
2022-08-06,Leeds,Wolves,2,1,H,1,1,D,R Jones,12,15,4,6,13,9,6,4,2,0,0,0,1,1,3,-3,-2,2,2,0,4,8,Aug
2022-08-06,Newcastle,Nott'm Forest,2,0,H,0,0,D,S Hooper,23,5,10,0,9,14,11,1,0,3,0,0,1,2,2,18,10,10,-3,0,-5,8,Aug
2022-08-06,Tottenham,Southampton,4,1,H,2,1,H,A Marriner,18,10,8,2,11,6,10,2,3,0,0,0,1,3,5,8,6,8,3,0,5,8,Aug
2022-08-06,Everton,Chelsea,0,1,A,0,1,A,C Pawson,8,15,4,6,14,11,4,16,3,2,0,0,-1,-1,1,-7,-2,-12,1,0,3,8,Aug
2022-08-07,Leicester,Brentford,2,2,D,1,0,H,J Gillett,14,8,5,3,6,5,5,6,0,0,0,0,0,0,4,6,2,-1,0,0,1,8,Aug
2022-08-07,Man United,Brighton,1,2,A,0,2,A,P Tierney,17,15,5,4,7,12,6,2,4,1,0,0,-1,-1,3,2,1,4,3,0,-5,8,Aug
2022-08-07,West Ham,Man City,0,2,A,0,1,A,M Oliver,6,14,1,2,8,4,1,4,0,1,0,0,-1,-2,2,-8,-1,-3,-1,0,4,8,Aug
2022-08-13,Aston Villa,Everton,2,1,H,1,0,H,M Oliver,12,15,4,4,9,7,5,8,4,1,0,0,1,1,3,-3,0,-3,3,0,2,8,Aug
2022-08-13,Arsenal,Leicester,4,2,H,2,0,H,D England,19,6,7,2,15,9,6,2,1,1,0,0,1,2,6,13,5,4,0,0,6,8,Aug
2022-08-13,Brighton,Newcastle,0,0,D,0,0,D,G Scott,13,4,7,1,8,6,7,3,2,3,0,0,0,0,0,9,6,4,-1,0,2,8,Aug
2022-08-13,Man City,Bournemouth,4,0,H,3,0,H,D Coote,19,3,7,1,9,9,11,1,0,3,0,0,1,4,4,16,6,10,-3,0,0,8,Aug
2022-08-13,Southampton,Leeds,2,2,D,0,0,D,T Harrington,14,13,4,5,10,12,2,5,1,3,0,0,0,0,4,1,-1,-3,-2,0,-2,8,Aug
